Project Name,announcementSummary,title,callTitle,tags,Keywords,Beginning,Deadline,URL
"ERDERA Joint Transnational Call 2025 ""Pre-clinical therapy studies for rare diseases using small molecules and biologicals – development and validation""",['EUROPEAN RARE DISEASES RESEARCH ALLIANCE'],['European Partnership on Rare Diseases'],"['ERDERA Joint Transnational Call 2025 ""Pre-clinical therapy studies for rare diseases using small molecules\nand biologicals – development and validation""']",,[],10 12 2024,09 07 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/9515
ERC PROOF OF CONCEPT GRANTS,,['ERC PROOF OF CONCEPT GRANTS'],['Call for proposals for ERC Proof of Concept Grant'],"['ERC', 'ERC-2025-POC', 'European Research Council', 'Frontier Research', 'HORIZON-ERC-2025', 'Lump Sum', 'POC', 'POC2025', 'Proof of Concept', 'Proof of Concept Lump Sum']","['ERC-2025-POC', 'ERC-2025-POC']",13 11 2024,18 09 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/erc-2025-poc
Call for marine biodiversity (monitoring) data,['Integration of biodiversity monitoring data into the Digital Twin Ocean'],['Integration of biodiversity monitoring data into the Digital Twin Ocean'],['Call for marine biodiversity (monitoring) data'],,[],18 12 2024,01 03 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/9642
INDUSAC OPEN CALL FOR STUDENTS AND RESEARCHERS,"['Quick Challenge-driven, Human-centered Co-Creation mechanism for INDUStry-Academia Collaborations']",['Piloting a new industry-academia knowledge exchange focussing on companies’ needs (CSA)'],['INDUSAC OPEN CALL FOR STUDENTS AND RESEARCHERS'],,[],18 12 2023,16 04 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/4642
Understanding the interactions between cardiovascular disorders and comorbidities and/or their therapeutic treatments - InterHeart,['Fostering a European Research Area for Health Research'],['European partnership fostering a European Research Area (ERA) for health research'],['Understanding the interactions between cardiovascular disorders and comorbidities and/or their therapeutic treatments - InterHeart'],,[],07 01 2025,17 06 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/9682
European Union Prize for Citizen Science 2025,['Impetus'],['Supporting and giving recognition to citizen science in the European Research Area'],['European Union Prize for Citizen Science 2025'],,"['sustainable', 'eco', 'ecosystem', 'urban', 'society', 'climate change', 'EU Missions']",07 01 2025,11 03 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/9804
Europe-Africa Research and Innovation call on Sustainable Energy 2025,['Long-Term Joint EU-AU Research and Innovation Partnership on Sustainable Energy'],['Africa-EU CO-FUND action'],['Europe-Africa Research and Innovation call on Sustainable Energy 2025'],,['Innovation'],14 01 2025,11 09 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/9827
EIT Manufacturing's Teaching Factories Competition 2025: Call for companies and students,['EIT Manufacturing Business Plan 2023-2025'],['EIT Manufacturing Business Plan 2023-2025'],"[""EIT Manufacturing's Teaching Factories Competition 2025: Call for companies and students""]",,[],16 12 2024,01 09 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/8624
Open Call: Textile and clothing industry facilitators in Athens and Rotterdam,"['Fostering local, beautiful, and sustainably designed regenerative textile and clothing ecosystems']","['Localised and Urban Manufacturing, supporting creativity and the New European Bauhaus (RIA using FSTP)']",['Open Call: Textile and clothing industry facilitators in Athens and Rotterdam'],,[],05 12 2024,19 02 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/9561
Call for applications: FRONTIERS Science Journalism Residency Program (round 3),['Fellowship Residencies Offering science News professionals Tools and training for Independent and Ethical Reporting on Science'],['ERC Science Journalism Initiative'],['Call for applications: FRONTIERS Science Journalism Residency Program (round 3)\n'],,[],04 02 2025,07 05 2026,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/4481
EIT RawMaterials KAVA call 13 - RIS Innovation and Capacity Building,['EIT RawMatrials Business Plan 2023-2025'],['EIT Raw Materials Business Plan 2023-2025'],['EIT RawMaterials KAVA call 13 - RIS Innovation and Capacity Building'],,['Innovation'],06 11 2024,28 11 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/9162
EIT RawMaterials – ERMA Booster Call,['EIT RawMatrials Business Plan 2023-2025'],['EIT Raw Materials Business Plan 2023-2025'],['EIT RawMaterials – ERMA Booster Call'],,[],27 01 2025,09 09 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/9942
EIT Jumpstarter 2025,['Cross-KIC Strategic Regional Innovations Cluster'],['EIT Cross-KIC Regional Innovation'],['EIT Jumpstarter 2025'],,[],11 02 2025,03 04 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/10162
RDA TIGER Cascade Grant Call for Adoption Grants,['Research Data Alliance facilitation of Targeted International working Groups for EOSC-related Research solutions'],"['Support for initiatives helping to generate global standards, specifications and recommendations for open sharing of FAIR research data, publications and software']",['RDA TIGER Cascade Grant Call for Adoption Grants'],,[],27 02 2025,28 04 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/10283
Open call for cascade grants of NEBA Alliance,['NEW EUROPEAN BAUHAUS ACADEMY ALLIANCE'],"['CBE JU supporting activities for the New European Bauhaus Academy, a network for re-skilling and upskilling towards a sustainable construction ecosystem']",['Open call for cascade grants of NEBA Alliance'],,[],28 02 2025,05 05 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/10264
Western Balkans R&amp;I Youth Awards and Western Balkans R&amp;I Youth Campaign,"['R&I POLICY making, implementation ANd Support in the WEsteRn BalkanS']",['Support for R&I policy making in the Western Balkans'],['Western Balkans R&I Youth Awards and Western Balkans R&I Youth Campaign'],,[],18 02 2025,19 04 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/10222
EIT Jumpstarter Next 2025 Call for Proposals #1,['Cross-KIC Strategic Regional Innovations Cluster'],['EIT Cross-KIC Regional Innovation'],['EIT Jumpstarter Next 2025 Call for Proposals #1'],,[],11 02 2025,12 04 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/10167
BOOST Call for Proposals,['Bringing financial support to innOvation and pOrtfolio activitieS increasing impacT of eic-supported research'],['Financial Support under the EIC Booster Grant Scheme'],['BOOST Call for Proposals'],,[],06 03 2025,04 11 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/10304
Call4TravelVouchers,"['CO-creating the next generation platform of PILOT and demo infrastructures, unlocking faster innovation and EU bioeconomy growth']","[""EU-wide network of pilot plants and testing facilities, improving SMEs and start-ups' access to scale-up""]",['Call4TravelVouchers'],,[],10 03 2025,08 05 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/10361
WE-RISE Open Call #1 Phase 1,"['Women Entrepreneurs in Renewable, Innovative, and Sustainable Enterprises']",['Startup Europe'],['WE-RISE Open Call #1 Phase 1 '],,[],12 03 2025,15 05 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/10341
EIT Red Kalyna 2025,['Cross-KIC Strategic Regional Innovations Cluster'],['EIT Cross-KIC Regional Innovation'],['EIT Red Kalyna 2025'],,[],08 03 2025,02 09 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/10342
Up2Circ Second Open Call,"['Boosting the uptake of circular business model, product and process innovation']","[""'Innovate to transform' support for SME's sustainability transition (CSA)""]",['Up2Circ Second Open Call'],,[],01 03 2025,01 05 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/9805
ELIAS - European Lighthouse of AI for Sustainability - 1st OPEN CALL,['European Lighthouse of AI for Sustainability'],['European Network of AI Excellence Centres: Expanding the European AI lighthouse (RIA)'],['ELIAS - European Lighthouse of AI for Sustainability - 1st OPEN CALL'],,"['sustainable', 'eco', 'ecosystem', 'urban', 'society', 'climate change', 'EU Missions']",30 01 2025,01 05 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/9981
JARVIS Open Call #1,['Intersubjective AI-driven multimodal interaction for advanced user-centric human robot collaborative applications'],"['Industrial leadership in AI, Data and Robotics – advanced human robot interaction (AI Data and Robotics Partnership) (IA)']",['JARVIS Open Call #1'],,[],05 03 2025,05 05 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/10305
LivingSoiLL Open Call,['Healthy Soil to Permanent Crops Living Labs'],['Co-creating solutions for soil health in Living Labs'],['LivingSoiLL Open Call'],,[],05 03 2025,05 05 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/10121
2025 FAST TRACK TO MARKET INITIATIVE – SPRING,['EIT Food Business Plan 2023-2025'],['EIT Food Business Plan 2023-2025'],['2025 FAST TRACK TO MARKET INITIATIVE – SPRING'],,[],04 03 2025,06 05 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/10322
OSCARS 2nd Open Call for Open Science Projects and Services,['O.S.C.A.R.S. - Open Science Clusters’ Action for Research and Society'],['Build on the science cluster approach to ensure the uptake of EOSC by research infrastructures and research communities'],['OSCARS 2nd Open Call for Open Science Projects and Services'],,[],14 03 2025,14 05 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/9182
InnoNext - Next Generation Innovation Talents' Initiative,"[""The Next Generation Innovation Talents' initiative""]",['Next Generation Innovation Talents'],"[""InnoNext - Next Generation Innovation Talents' Initiative""]",,['Innovation'],17 03 2025,01 08 2026,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/10401
NGI Zero Commons Fund (2025-06Z),"['Create, mature and grow internet commons']",['Next Generation Internet Fund (RIA)'],['NGI Zero Commons Fund (2025-06Z)'],,[],01 04 2025,01 06 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/10461
NGI Mobifree open call (2025-06M),['Mobile Freedom (MOBIFREE)'],['Pilots for the Next Generation Internet (IA)'],['NGI Mobifree open call (2025-06M)'],,[],01 04 2025,01 06 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/10465
NGI Fediversity open call (2025-06F),['Fediversity'],['Pilots for the Next Generation Internet (IA)'],['NGI Fediversity open call (2025-06F)'],,[],01 04 2025,01 06 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/10463
Open Call for Farmers to contribute to the LILAS4SOILS Project,['Fostering Carbon Farming Practices through LIving LAbS in the Mediterranean and Southern EU for the healthy future of European SOILS'],['Carbon farming in living labs'],['Open Call for Farmers to contribute to the LILAS4SOILS Project'],,[],11 03 2025,17 05 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/10368
PQ-REACT Open Call #2 - IMPLEMENT,['Post Quantum Cryptography Framework for Energy Aware Contexts'],['Transition towards Quantum-Resistant Cryptography'],['PQ-REACT Open Call #2 - IMPLEMENT'],,[],02 04 2025,27 05 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/10428
FORTIS Open Call #1: Boosting Development of the FORTIS Solution,['Multi-Modal and Multi-Aspect Holistic Human-Robot Interaction'],"['Industrial leadership in AI, Data and Robotics – advanced human robot interaction (AI Data and Robotics Partnership) (IA)']",['FORTIS Open Call #1: Boosting Development of the FORTIS Solution'],,[],01 04 2025,04 06 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/10470
SPADE Open Call #2,['multi-purpoSe Physical-cyber Agri-forest Drones Ecosystem for governance and environmental observation'],['Potential of drones as multi-purpose vehicle – risks and added values'],['SPADE Open Call #2 '],,[],24 03 2025,26 05 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/10425
MASTER: 2nd Open Call,['Mixed reality ecosystem for teaching robotics in manufacturing'],['eXtended Reality Learning - Engage and Interact (IA)'],['MASTER: 2nd Open Call'],,[],07 04 2025,12 06 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/10502
Open Call for Associated Regions aiming at assessing the replicability and exploitability potentials of the RHE-MEDiation technologies.,['RHE-MEDiation - Responsive hub for long term governance to destress the Mediterranean Sea from chemical pollution'],"['Mediterranean sea basin lighthouse - Actions to prevent, minimise and remediate chemical pollution']",['Open Call for Associated Regions aiming at assessing the replicability and exploitability potentials of the RHE-MEDiation technologies.'],,[],31 03 2025,31 05 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/10378
The European Capital of Innovation Award (iCapital),,['The European Capital of Innovation Award (iCapital)'],['The European Capital of Innovation Award (ICapital)'],[],"['HORIZON-EIC-2025-PRIZE-2-01', 'HORIZON-EIC-2025-PRIZE-2', 'sustainable', 'eco', 'ecosystem', 'urban', 'society', 'climate change', 'EU Missions', 'Innovation']",20 03 2025,18 06 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-eic-2025-prize-2-01
The European Capital of Innovation Awards (Rising),,['The European Capital of Innovation Awards (Rising)'],['The European Capital of Innovation Award (ICapital)'],[],"['HORIZON-EIC-2025-PRIZE-2-02', 'HORIZON-EIC-2025-PRIZE-2', 'sustainable', 'eco', 'ecosystem', 'urban', 'society', 'climate change', 'EU Missions', 'Innovation']",20 03 2025,18 06 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-eic-2025-prize-2-02
WATER,,['WATER'],['EIT Call for Proposals 2025'],"['Consortium', 'EIT Community', 'EIT KICs', 'European Institute of Innovation & Technology', 'Knowledge & Innovation Community', 'Water, Marine and Maritime Sectors and Ecosystems']","['HORIZON-EIT-2025', 'HORIZON-EIT-2025-KIC-WATER', 'Business model innovation', 'Disruptive innovation', 'Higher education', 'Hydrosphere - Freshwater', 'Hydrosphere - Marine and Ocean', 'Innovation management', 'Innovation strategies', 'Innovation support services', 'Innovation systems', 'Innovative solutions for maritime challenges', 'Integrated management of water', 'Marine and Ocean Management', 'Market-creating innovation', 'Open innovation', 'Product innovation', 'Related to SME and start-up support', 'Related to industrial policy', 'Related to regional development', 'Service innovation', 'Smart Specialisation strategies', 'Sustainable innovation', 'Technological innovation', 'Vocational training', 'Water management', 'Water technology']",20 02 2025,17 06 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-eit-2025
ATM impact on climate change,,['ATM impact on climate change'],['Digital European Sky Exploratory Research 03'],[],"['HORIZON-SESAR-2025-DES-ER-03-WA1-1', 'HORIZON-SESAR-2025-DES-ER-03']",01 04 2025,16 09 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-sesar-2025-des-er-03-wa1-1
Fundamental research for other topics,,['Fundamental research for other topics'],['Digital European Sky Exploratory Research 03'],[],"['HORIZON-SESAR-2025-DES-ER-03-WA1-4', 'HORIZON-SESAR-2025-DES-ER-03']",01 04 2025,16 09 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-sesar-2025-des-er-03-wa1-4
Research to help shape the future regulatory framework for a DES,,['Research to help shape the future regulatory framework for a DES'],['Digital European Sky Exploratory Research 03'],[],"['HORIZON-SESAR-2025-DES-ER-03-WA2-1', 'HORIZON-SESAR-2025-DES-ER-03']",01 04 2025,16 09 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-sesar-2025-des-er-03-wa2-1
Integration of the next generation aircraft for zero/low emission aviation,,['Integration of the next generation aircraft for zero/low emission aviation'],['Digital European Sky Exploratory Research 03'],[],"['HORIZON-SESAR-2025-DES-ER-03-WA2-2', 'HORIZON-SESAR-2025-DES-ER-03']",01 04 2025,16 09 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-sesar-2025-des-er-03-wa2-2
Investigate quantum sensing and computing applied to ATM,,['Investigate quantum sensing and computing applied to ATM'],['Digital European Sky Exploratory Research 03'],[],"['HORIZON-SESAR-2025-DES-ER-03-WA1-3', 'HORIZON-SESAR-2025-DES-ER-03']",01 04 2025,16 09 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-sesar-2025-des-er-03-wa1-3
Digital flight rules,,['Digital flight rules'],['Digital European Sky Exploratory Research 03'],[],"['HORIZON-SESAR-2025-DES-ER-03-WA1-2', 'HORIZON-SESAR-2025-DES-ER-03']",01 04 2025,16 09 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-sesar-2025-des-er-03-wa1-2
Transformation to trajectory-based operations,,['Transformation to trajectory-based operations'],['Digital European Sky Industrial Research 02'],[],"['HORIZON-SESAR-2025-DES-IR-02-WA1-1', 'HORIZON-SESAR-2025-DES-IR-02']",01 04 2025,16 09 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-sesar-2025-des-ir-02-wa1-1
Highly automated ATM for all airspace users,,['Highly automated ATM for all airspace users'],['Digital European Sky Industrial Research 02'],[],"['HORIZON-SESAR-2025-DES-IR-02-WA5-2', 'HORIZON-SESAR-2025-DES-IR-02']",01 04 2025,16 09 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-sesar-2025-des-ir-02-wa5-2
Enhanced CNS capabilities,,['Enhanced CNS capabilities'],['Digital European Sky Industrial Research 02'],[],"['HORIZON-SESAR-2025-DES-IR-02-WA3-2', 'HORIZON-SESAR-2025-DES-IR-02']",01 04 2025,16 09 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-sesar-2025-des-ir-02-wa3-2
Fast-track Enabling innovative air mobility (IAM) / Vertical take-off and landing capable aircraft (VCA) (crewed and uncrewed) operations,,['Fast-track Enabling innovative air mobility (IAM) / Vertical take-off and landing capable aircraft (VCA) (crewed and uncrewed) operations'],['Digital European Sky Industrial Research 02'],[],"['HORIZON-SESAR-2025-DES-IR-02-WA6-3', 'HORIZON-SESAR-2025-DES-IR-02']",01 04 2025,16 09 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-sesar-2025-des-ir-02-wa6-3
"Smart airports, airports as multimodal nodes and passenger experience",,"['Smart airports, airports as multimodal nodes and passenger experience']",['Digital European Sky Industrial Research 02'],[],"['HORIZON-SESAR-2025-DES-IR-02-WA4-2', 'HORIZON-SESAR-2025-DES-IR-02']",01 04 2025,16 09 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-sesar-2025-des-ir-02-wa4-2
Support to programme execution on SESAR architecture and on Strategic deployment planning and monitoring,,['Support to programme execution on SESAR architecture and on Strategic deployment planning and monitoring'],['Digital European Sky Industrial Research 02'],[],"['HORIZON-SESAR-2025-DES-IR-02-WA7-2', 'HORIZON-SESAR-2025-DES-IR-02']",01 04 2025,16 09 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-sesar-2025-des-ir-02-wa7-2
Support to programme execution framework on performance,,['Support to programme execution framework on performance'],['Digital European Sky Industrial Research 02'],[],"['HORIZON-SESAR-2025-DES-IR-02-WA7-1', 'HORIZON-SESAR-2025-DES-IR-02']",01 04 2025,16 09 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-sesar-2025-des-ir-02-wa7-1
Next generation ATS platform for airport operations,,['Next generation ATS platform for airport operations'],['Digital European Sky Industrial Research 02'],[],"['HORIZON-SESAR-2025-DES-IR-02-WA4-1', 'HORIZON-SESAR-2025-DES-IR-02']",01 04 2025,16 09 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-sesar-2025-des-ir-02-wa4-1
Airborne capabilities for supporting reducing ATM environmental footprint,,['Airborne capabilities for supporting reducing ATM environmental footprint'],['Digital European Sky Industrial Research 02'],[],"['HORIZON-SESAR-2025-DES-IR-02-WA5-3', 'HORIZON-SESAR-2025-DES-IR-02']",01 04 2025,16 09 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-sesar-2025-des-ir-02-wa5-3
Next generation ATS platforms for en-route and TMA operations,,['Next generation ATS platforms for en-route and TMA operations'],['Digital European Sky Industrial Research 02'],[],"['HORIZON-SESAR-2025-DES-IR-02-WA3-1', 'HORIZON-SESAR-2025-DES-IR-02']",01 04 2025,16 09 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-sesar-2025-des-ir-02-wa3-1
Transition towards high performance of air-ground connectivity (multilink),,['Transition towards high performance of air-ground connectivity (multilink)'],['Digital European Sky Industrial Research 02'],[],"['HORIZON-SESAR-2025-DES-IR-02-WA2-1', 'HORIZON-SESAR-2025-DES-IR-02', 'Technology', 'business', 'market', 'commercial']",01 04 2025,16 09 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-sesar-2025-des-ir-02-wa2-1
Fast-track Extending U-space eco-system,,['Fast-track Extending U-space eco-system'],['Digital European Sky Industrial Research 02'],[],"['HORIZON-SESAR-2025-DES-IR-02-WA6-2', 'HORIZON-SESAR-2025-DES-IR-02']",01 04 2025,16 09 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-sesar-2025-des-ir-02-wa6-2
Increased automation assistance for the pilot for ATM tasks,,['Increased automation assistance for the pilot for ATM tasks'],['Digital European Sky Industrial Research 02'],[],"['HORIZON-SESAR-2025-DES-IR-02-WA5-1', 'HORIZON-SESAR-2025-DES-IR-02']",01 04 2025,16 09 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-sesar-2025-des-ir-02-wa5-1
OC2: Building Novel Circular Value Chain Demonstrators,['Circular and Dynamic Manufacturing Supply Chain Orchestration and OptimiSation'],['ICT Innovation for Manufacturing Sustainability in SMEs (I4MS2) (Made in Europe Partnership) (IA)'],['OC2: Building Novel Circular Value Chain Demonstrators'],,[],04 04 2025,28 05 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/10504
Fast-track U3 U-space advanced services and CNS capabilities,,['Fast-track U3 U-space advanced services and CNS capabilities'],['Digital European Sky Industrial Research 02'],[],"['HORIZON-SESAR-2025-DES-IR-02-WA6-1', 'HORIZON-SESAR-2025-DES-IR-02']",01 04 2025,16 09 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-sesar-2025-des-ir-02-wa6-1
Danube River-Black Sea Lighthouse Call,['TIDAL ArtS: TransformIng anD inspiring Aquatic Landscapes through Art and Sciences'],['Ocean & water and arts: the contribution of creative sectors to Mission Ocean and waters'],['Danube River-Black Sea Lighthouse Call'],,[],14 04 2025,15 06 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/10627
Atlantic - Arctic Lighthouse Call,['TIDAL ArtS: TransformIng anD inspiring Aquatic Landscapes through Art and Sciences'],['Ocean & water and arts: the contribution of creative sectors to Mission Ocean and waters'],['Atlantic - Arctic Lighthouse Call'],,[],14 04 2025,15 06 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/10624
